3
100
0.801924,0.849666
0.499730,0.486856
0.179503,0.152968
0.051691,0.318083,3
0.070479,0.165771,3
0.310798,0.179067,3
0.270665,0.089690,3
0.097559,0.293470,3
0.296330,0.188126,3
0.153666,0.204653,3
0.225166,0.077444,3
0.143960,0.158526,3
0.248891,0.050511,3
0.034637,0.198098,3
0.168285,0.156909,3
0.115722,0.208046,3
0.299338,0.148194,3
0.088068,0.099761,3
0.034483,0.139759,3
0.084511,0.104962,3
0.305530,0.061975,3
0.284028,0.242862,3
0.151666,0.048254,3
0.202999,0.114662,3
0.236380,0.023331,3
0.319316,0.128212,3
0.100775,0.129942,3
0.286738,0.016333,3
0.180453,0.321376,3
0.214431,0.015405,3
0.144951,0.330152,3
0.223451,0.110956,3
0.145013,0.311519,3
0.210717,0.179496,3
0.117945,0.295227,3
0.284458,0.090142,3
0.357203,0.568486,2
0.666337,0.508868,2
0.616740,0.536003,2
0.623531,0.519786,2
0.559334,0.609513,2
0.647999,0.660109,2
0.406122,0.601404,2
0.343109,0.586575,2
0.589446,0.557539,2
0.601980,0.401064,2
0.554358,0.492098,2
0.512019,0.366038,2
0.470283,0.389403,2
0.545535,0.588228,2
0.351297,0.496659,2
0.345037,0.375166,2
0.398479,0.344707,2
0.550701,0.348552,2
0.547376,0.507565,2
0.535006,0.440043,2
0.450412,0.516338,2
0.433485,0.523200,2
0.451075,0.443261,2
0.443109,0.373854,2
0.334134,0.378422,2
0.441585,0.555159,2
0.537186,0.620271,2
0.587864,0.340803,2
0.343007,0.466732,2
0.595698,0.360970,2
0.630058,0.607401,2
0.402803,0.361870,2
0.618774,0.620170,2
0.710423,0.832817,1
0.794402,0.912095,1
0.939527,0.911480,1
0.761766,0.706345,1
0.768014,0.879508,1
0.816273,0.877789,1
0.920028,0.817073,1
0.922877,0.694946,1
0.705566,0.793397,1
0.981884,0.960096,1
0.800866,0.991557,1
0.760162,0.729897,1
0.685860,0.723553,1
0.670631,0.755329,1
0.752090,0.956072,1
0.708833,0.795846,1
0.788889,0.836568,1
0.707941,0.728416,1
0.748049,0.803040,1
0.768094,0.849396,1
0.682548,0.917701,1
0.727185,0.935909,1
0.734774,0.983396,1
0.964189,0.773673,1
0.776792,0.946072,1
0.733769,0.910992,1
0.937629,0.827264,1
0.974222,0.956823,1
0.884150,0.978187,1
0.712152,0.969573,1
0.934259,0.754319,1
0.765419,0.723148,1
0.924220,0.806693,1
0.000000,0.000000,3
