5
100
0.514208,0.550262
0.125322,0.049390
0.832918,0.816492
0.070286,0.141685
0.296307,0.301613
0.060589,0.185959,4
0.004935,0.183026,4
0.006619,0.171790,4
0.094958,0.107016,4
0.124358,0.176905,4
0.088177,0.106231,4
0.072850,0.083761,4
0.123919,0.196947,4
0.002943,0.110905,4
0.179967,0.022925,2
0.106013,0.082512,2
0.142490,0.137557,4
0.043277,0.097819,4
0.128991,0.121528,4
0.161318,0.033652,2
0.157526,0.021907,2
0.019612,0.162461,4
0.004933,0.026231,2
0.134251,0.099891,2
0.133247,0.058609,2
0.276796,0.221424,5
0.364840,0.349646,5
0.305185,0.288759,5
0.346593,0.308128,5
0.399665,0.326560,5
0.331052,0.305678,5
0.209072,0.273542,5
0.243235,0.252349,5
0.371361,0.372226,5
0.373877,0.332680,5
0.205879,0.331402,5
0.354587,0.225491,5
0.293863,0.359520,5
0.251722,0.228114,5
0.259410,0.384969,5
0.286723,0.336206,5
0.206393,0.251563,5
0.285852,0.311577,5
0.340323,0.232445,5
0.219705,0.339987,5
0.559005,0.550757,1
0.445665,0.568077,1
0.424299,0.488900,1
0.420426,0.595660,1
0.461126,0.594302,1
0.528340,0.467005,1
0.525705,0.482927,1
0.492496,0.419568,1
0.442446,0.544218,1
0.447682,0.501857,1
0.529186,0.534405,1
0.438063,0.535579,1
0.585968,0.523915,1
0.447156,0.526291,1
0.556360,0.466861,1
0.466279,0.515365,1
0.417617,0.511943,1
0.483441,0.441916,1
0.400843,0.503867,1
0.437577,0.461970,1
0.698169,0.765917,3
0.728975,0.623874,3
0.648843,0.621471,1
0.643442,0.691290,1
0.765689,0.691124,3
0.793146,0.694875,3
0.625529,0.631209,1
0.630454,0.611498,1
0.755123,0.677609,3
0.737789,0.711483,3
0.744470,0.604067,3
0.626848,0.762087,3
0.716011,0.710289,3
0.604004,0.716854,1
0.614157,0.641580,1
0.778824,0.712326,3
0.607497,0.707799,1
0.736200,0.656340,3
0.729271,0.779642,3
0.747629,0.694959,3
0.870766,0.940776,3
0.989834,0.896295,3
0.971984,0.820288,3
0.907793,0.927108,3
0.897897,0.845582,3
0.838591,0.842367,3
0.849649,0.865439,3
0.804455,0.965660,3
0.975729,0.808458,3
0.882515,0.989885,3
0.850038,0.861339,3
0.902211,0.857535,3
0.969138,0.838411,3
0.913875,0.898409,3
0.818053,0.861504,3
0.993368,0.888819,3
0.802280,0.983202,3
0.985115,0.974264,3
0.803490,0.892908,3
0.901372,0.901388,3
