6
100
0.004696,0.004188
0.124808,0.029387
0.084112,0.086448
0.227123,0.259124
0.843216,0.830401
0.512734,0.504626
0.004665,0.024801,1
0.124997,0.049280,2
0.156795,0.058044,2
0.120588,0.031963,2
0.145609,0.024360,2
0.087938,0.081886,3
0.079291,0.064392,3
0.091312,0.103565,3
0.025139,0.072937,3
0.106575,0.012154,2
0.114494,0.025352,2
0.089930,0.005765,2
0.130869,0.134110,3
0.090124,0.061796,3
0.023512,0.000329,1
0.139475,0.028176,2
0.191796,0.264472,4
0.244123,0.181925,4
0.322516,0.198045,4
0.213888,0.301459,4
0.222405,0.301826,4
0.216678,0.301696,4
0.199551,0.307990,4
0.238594,0.224690,4
0.214260,0.178502,4
0.236843,0.328754,4
0.203854,0.326773,4
0.167853,0.168056,4
0.294216,0.257977,4
0.229852,0.317728,4
0.258306,0.202661,4
0.179237,0.283436,4
0.467133,0.423361,6
0.465361,0.456316,6
0.454738,0.345915,6
0.424441,0.343810,6
0.481074,0.474452,6
0.478839,0.347292,6
0.449109,0.384099,6
0.405315,0.496702,6
0.395935,0.475492,6
0.492124,0.433122,6
0.468931,0.493310,6
0.434512,0.429814,6
0.417954,0.497697,6
0.414208,0.342927,6
0.367024,0.426779,6
0.459696,0.334157,6
0.516806,0.591724,6
0.623806,0.638211,6
0.604306,0.548247,6
0.648688,0.585380,6
0.522699,0.627527,6
0.599339,0.638475,6
0.511626,0.504653,6
0.635177,0.574228,6
0.646812,0.627301,6
0.507350,0.615743,6
0.620611,0.608528,6
0.545557,0.538565,6
0.606225,0.626432,6
0.548158,0.639916,6
0.553211,0.507855,6
0.640739,0.570018,6
0.766245,0.764545,5
0.708229,0.703884,5
0.812791,0.690250,5
0.789265,0.668824,5
0.817777,0.721937,5
0.807298,0.829403,5
0.726590,0.775809,5
0.736964,0.706735,5
0.736443,0.744314,5
0.822478,0.690387,5
0.686175,0.701368,5
0.728952,0.792400,5
0.827800,0.777110,5
0.765649,0.714345,5
0.784965,0.739722,5
0.784362,0.717877,5
0.837600,0.992591,5
0.921761,0.983724,5
0.849508,0.877692,5
0.985881,0.833952,5
0.932962,0.959846,5
0.996689,0.992885,5
0.902322,0.900320,5
0.866287,0.972098,5
0.977967,0.855431,5
0.995819,0.997476,5
0.890133,0.891437,5
0.956543,0.884600,5
0.835214,0.888859,5
0.932278,0.953512,5
0.961914,0.883307,5
0.838055,0.966180,5
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
